Metric,Value
R2 Score,-0.033344904908819695
Adjusted R2 Score,-0.32038515627238073
Mean Absolute Error,1.8409665899073824
Mean Squared Error,4.329850810247187
Pearson Correlation,0.20282163708911227
Spearman Correlation,0.24889372080353683
