Metric,Value
Adjusted R2 Score,0.5618999098323483
Mean Absolute Error,0.23873756995383671
Mean Squared Error,0.21738888810912266
Pearson Correlation,0.8132791235559522
Spearman Correlation,0.7781727282125438
