Metric,Value,P-Value
MSE,7.970694065093994,
MAE,2.2335288524627686,
Adjusted R²,-0.019890828658315485,
Pearson Correlation,0.15637215496554302,0.29388353603742673
Spearman Correlation,0.14512149810111608,0.33041538649802193
